recipe_id,recipe_name,row_order,row_type,ing_name,ing_qty,sr28_long_desc,ndb_no,portion_desc,portion_grams,serving_count,notes,game_food,animal
SWEET_008,Pie Peach,6,ingredient,"peaches (peeled, pitted, sliced)",about 7 cups sliced (about 3 lb),"Peaches, yellow, raw",9236,g,1360,1,section=filling,,
SWEET_008,Pie Peach,7,ingredient,sugar,1/2 cup,"Sugars, granulated",19335,g,100,1,section=filling,,
SWEET_008,Pie Peach,8,ingredient,brown sugar,1/4 cup packed,"Sugars, brown",19334,g,55,1,section=filling,,
SWEET_008,Pie Peach,9,ingredient,cornstarch,1/4 cup,Cornstarch,20027,g,32,1,section=filling,,
SWEET_008,Pie Peach,10,ingredient,lemon juice,1 tablespoon,"Lemon juice, raw",9152,g,15,1,section=filling,,
SWEET_008,Pie Peach,11,ingredient,ground cinnamon,1/2 teaspoon,"Spices, cinnamon, ground",2010,g,1.3,1,section=filling,,
SWEET_008,Pie Peach,12,ingredient,ground nutmeg,1/4 teaspoon,"Spices, nutmeg, ground",2025,g,0.5,1,section=filling,,
SWEET_008,Pie Peach,13,ingredient,salt,1/4 teaspoon,"Salt, table",2047,g,1.5,1,section=filling,,
SWEET_008,Pie Peach,14,ingredient,"unsalted butter (cut into small pieces, dotted on top)",1 tablespoon,"Butter, without salt",1145,g,14,1,section=filling,,
SWEET_008,Pie Peach,15,ingredient,~25g of beaten egg adheres to lattice,1 large egg,"Egg, whole, raw, fresh",1123,g,25,1,section=wash,,
SWEET_008,Pie Peach,16,ingredient,ice water,1 teaspoon,"Water, tap, drinking",14411,g,5,1,section=wash,,
SWEET_009,Pecan Pie,0,dish,,custom (g),"Pie, pecan, prepared from recipe",18325,custom (g),100.0,1,,,
SWEET_009,Pecan Pie,1,ingredient,all-purpose enriched white flour,1 1/2 cups,"Wheat flour, white, all-purpose, enriched, bleached",20081,g,188,1,section=crust,,
SWEET_009,Pecan Pie,2,ingredient,salt,1/2 teaspoon,"Salt, table",2047,g,3,1,section=crust,,
SWEET_009,Pecan Pie,3,ingredient,unsalted butter,6 tablespoons,"Butter, without salt",1145,g,85,1,section=crust,,
SWEET_009,Pecan Pie,4,ingredient,ice water,3 tablespoons ice water,"Water, tap, drinking",14411,g,45,1,section=crust,,
SWEET_009,Pecan Pie,5,ingredient,light corn syrup,1 cup,"Syrups, corn, light",19350,g,328,1,section=filling,,
SWEET_009,Pecan Pie,6,ingredient,brown sugar,1 cup packed,"Sugars, brown",19334,g,220,1,section=filling,,
