ndb_no,in_food_portions_csv,csv_word,csv_display,usda_desc,use_count,recipe_ids,roles,example_name
18309,yes,PIECHERRY,Pies Cherry,"Pie, cherry, prepared from recipe",1,SWEET_005,canonical,
18310,yes,PIECHOCOLATE,Pies Chocolate,"Pie, chocolate creme, commercially prepared",1,SWEET_013,canonical,
18314,NO,,,,1,SWEET_014,canonical,
18317,NO,,,,1,SWEET_015,canonical,
18321,yes,PIELEMON,Pies Lemon,"Pie, lemon meringue, prepared from recipe",1,SWEET_006,canonical,
18322,yes,PIEMINCE,Pies Mince,"Pie, mince, prepared from recipe",1,SWEET_007,canonical,
18323,yes,PIEPEACH,Pies Peach,"Pie, peach",1,SWEET_008,canonical,
18325,yes,PIEPECAN,Pies Pecan,"Pie, pecan, prepared from recipe",1,SWEET_009,canonical,
18327,yes,PIEPUMPKIN,Pies Pumpkin,"Pie, pumpkin, prepared from recipe",1,SWEET_010,canonical,
18328,yes,PIEVANILLACREAM,Pies Vanilla Cream,"Pie, vanilla cream, prepared from recipe",1,SWEET_011,canonical,
18354,yes,APPLESTRUDEL,Apple Strudel,"Strudel, apple",1,SWEET_002,canonical,
18369,NO,,,"Leavening agents, baking powder, double-acting, sodium aluminum sulfate",9,SWEET_012;SWEET_016;SWEET_017;SWEET_018;SWEET_020;SWEET_022;SWEET_023;SWEET_027;SWEET_028,ingredient,baking powder
18372,yes,BAKINGSODA,Baking Soda,"Leavening agents, baking soda",2,SWEET_021;SWEET_027,ingredient,baking soda
18373,yes,CREAMOFTARTAR,Cream of Tartar,"Leavening agents, cream of tartar",2,SWEET_024;SWEET_025,ingredient,cream of tartar
19080,yes,CANDCHOCSEMI,Candies Chos Semisweet,"Candies, semisweet chocolate",2,SWEET_012;SWEET_013,ingredient,semisweet chocolate
19165,NO,,,"Cocoa, dry powder, unsweetened",3,SWEET_013;SWEET_019;SWEET_020,ingredient,unsweetened cocoa powder
19304,yes,MOLASSES,Molasses,Molasses,1,SWEET_021,ingredient,molasses
19334,yes,SUGARBROWN,Brown Sugar,"Sugars, brown",6,SWEET_002;SWEET_007;SWEET_009;SWEET_021;SWEET_022;SWEET_027,ingredient,brown sugar
19335,yes,SUGAR,Sugar,"Sugars, granulated",32,SWEET_001;SWEET_002;SWEET_003;SWEET_004;SWEET_005;SWEET_006;SWEET_007;SWEET_008;SWEET_010;SWEET_011;SWEET_012;SWEET_013;SWEET_014;SWEET_015;SWEET_016;SWEET_017;SWEET_018;SWEET_020;SWEET_022;SWEET_023;SWEET_024;SWEET_025;SWEET_026;SWEET_027;SWEET_028,ingredient,sugar
19336,NO,,,"Sugars, powdered",6,SWEET_003;SWEET_011;SWEET_013;SWEET_014;SWEET_019;SWEET_020,ingredient,powdered sugar
19350,yes,SYRUPCORNLIGHT,Light Corn Syrup,"Syrups, corn, light",2,SWEET_009;SWEET_017,ingredient,light corn syrup
19409,NO,,,,1,SWEET_019,canonical,
20027,yes,CORNSTARCH,Cornstarch,Cornstarch,10,SWEET_001;SWEET_003;SWEET_004;SWEET_005;SWEET_006;SWEET_008;SWEET_011;SWEET_012;SWEET_013;SWEET_014,ingredient,cornstarch
20081,NO,,,"Wheat flour, white, all-purpose, enriched, bleached",28,SWEET_001;SWEET_002;SWEET_003;SWEET_004;SWEET_005;SWEET_006;SWEET_007;SWEET_008;SWEET_009;SWEET_010;SWEET_011;SWEET_012;SWEET_014;SWEET_015;SWEET_016;SWEET_017;SWEET_018;SWEET_020;SWEET_021;SWEET_022;SWEET_023;SWEET_027;SWEET_028,ingredient,all-purpose enriched white flour
20084,NO,,,"Wheat flour, white, cake, enriched",4,SWEET_018;SWEET_020;SWEET_024;SWEET_025,ingredient,cake flour
