word,display,has_recipe,NDB_NO,usda_desc,group1,group2,matched_recipe_id,matched_recipe_name
PIECOCONUT,Pies Coconut,1,18313,"Pie, coconut creme, commercially prepared",sweets,,SWEET_035,Pies Coconut
PIEDUTCHAPPLE,Pies Dutch Apple,1,18944,"Pie, Dutch Apple, Commercially Prepared",sweets,,SWEET_036,Pies Dutch Apple
PIELEMON,Pies Lemon,1,18321,"Pie, lemon meringue, prepared from recipe",sweets,,SWEET_037,Pies Lemon
PIEMINCE,Pies Mince,1,18322,"Pie, mince, prepared from recipe",prepared,,SWEET_038,Pies Mince
PIEPEACH,Pies Peach,1,18323,"Pie, peach",sweets,,SWEET_039,Pies Peach
PIEPECAN,Pies Pecan,1,18325,"Pie, pecan, prepared from recipe",sweets,,SWEET_040,Pies Pecan
PIEPUMPKIN,Pies Pumpkin,1,18327,"Pie, pumpkin, prepared from recipe",sweets,,SWEET_041,Pies Pumpkin
POTATOESSCALLOPED,Scalloped Potatoes,1,11372,"Potatoes, scalloped, home-prepared with butter",vegetable,prepared,,
POTATOSALAD,Potato Salad,1,11414,"Potato salad, home-prepared",prepared,,SIDE_005,Potato Salad
QUESADILLACHEESE,Quesadilla Cheese,1,36052,"Restaurant, Mexican, cheese quesadilla",prepared,,,
RAVIOLI,Ravioli,1,36055,"Restaurant, Italian, cheese ravioli with marinara sauce",prepared,,,
RICEFRIED,Chinese Rice Fried,1,36602,"Restaurant, Chinese, fried rice, without meat",grain,prepared,,
ROLLDINNER,Dinner Roll,1,18347,"Rolls, dinner, wheat",prepared,grain,,
ROLLDINNERSWEET,Sweet Dinner Roll,1,28348,"Rolls, dinner, sweet",grain,prepared,,
ROLLDINNERWHOLE,Whole Wheat Dinner Roll,1,18348,"Rolls, dinner, whole-wheat",grain,prepared,,
SANDSUBBLT,Sandwich Sub BLT,1,21162,"Fast foods, submarine sandwich, bacon, lettuce, and tomato on white bread",prepared,,,
SAUCE,Cheese Sauce,1,1164,"Cheese sauce, prepared from recipe",prepared,,SIDE_012,Cheese Sauce
SOUPEGGDROP,Soup Egg Drop,1,27000,"Soup, egg drop, Chinese restaurant",prepared,,,
SOUPHOTSOUR,Soup Hot Sour,1,27001,"Soup, hot and sour, Chinese restaurant",prepared,,,
TACOBEEF,Taco Beef Lettuce Cheese,1,21486,"Fast foods, taco with beef, cheese and lettuce, soft",prepared,,,
TACOCHICKEN,Taco Chicken Lettuce Cheese,1,21487,"Fast foods, taco with chicken, lettuce and cheese, soft",prepared,,,
TACOSALAD,Taco Salad,1,21083,"Fast foods, taco salad",prepared,,TEXMX_011,Taco Salad
TAMALESCHEESE,Tamales Cheese,1,36056,"Restaurant, Mexican, cheese tamales",prepared,,,
TAMALESPORK,Tamales Pork,1,35237,"Tamales, masa and pork filling (Hopi)",prepared,,,
TRIPE,Tripe,1,36414,"Restaurant, Latino, tripe soup",prepared,,,
TUNASALAD,Tuna Salad,1,15128,"Fish, tuna salad",protein,,,
TURKEYPOTPIE,Turkey Pot Pie,1,22528,"Turkey Pot Pie, frozen entree",protein,prepared,,
