foundation_ndb,legacy_ndb,foundation_food,existing_food
016511,16511,"Beans, Dry, Navy (0% moisture)","WORTHINGTON Choplets, canned, unprepared"
016512,16512,"Beans, Dry, Small White (0% moisture)","WORTHINGTON Diced Chik, canned, unprepared"
016513,16513,"Beans, Dry, Small Red (0% moisture)","WORTHINGTON FriChik Original, canned, unprepared"
016514,16514,"Beans, Dry, Black (0% moisture)","WORTHINGTON Low Fat Fri Chik, canned, unprepared"
016515,16515,"Beans, Dry, Pinto (0% moisture)","WORTHINGTON Low Fat Veja-Links, canned, unprepared"
016516,16516,"Beans, Dry, Great Northern (0% moisture)","WORTHINGTON Multigrain Cutlets, canned, unprepared"
017224,17224,"Lamb, ground, raw","Lamb, ground, raw"
019335,19335,"Sugars, granulated","Sugars, granulated"
020008,20008,"Buckwheat, whole grain",Buckwheat
020011,20011,"Flour, buckwheat","Buckwheat flour, whole-groat"
020012,20012,"Bulgur, dry, raw","Bulgur, dry"
020031,20031,"Millet, whole grain","Millet, raw"
020036,20036,"Rice, brown, long grain, unenriched, raw","Rice, brown, long-grain, raw"
020038,20038,"Oats, whole grain, rolled, old fashioned",Oats
020061,20061,"Flour, rice, white, unenriched","Rice flour, white, unenriched"
020080,20080,"Flour, whole wheat, unenriched","Wheat flour, whole-grain"
020081,20081,"Flour, wheat, all-purpose, enriched, bleached","Wheat flour, white, all-purpose, enriched, bleached"
020083,20083,"Flour, bread, white, enriched, unbleached","Wheat flour, white, bread, enriched"
020088,20088,"Wild rice, dry, raw","Wild rice, raw"
020090,20090,"Flour, rice, brown","Rice flour, brown"
020130,20130,"Flour, barley","Barley flour or meal"
020140,20140,"Flour, spelt, whole grain","Spelt, uncooked"
020444,20444,"Rice, white, long grain, unenriched, raw","Rice, white, long-grain, regular, raw, unenriched"
020481,20481,"Flour, wheat, all-purpose, unenriched, unbleached","Wheat flour, white, all-purpose, unenriched"
020581,20581,"Flour, wheat, all-purpose, enriched, unbleached","Wheat flour, white, all-purpose, enriched, unbleached"
023359,23359,"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw","Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw"
023362,23362,"Beef, round, eye of round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw","Beef, round, eye of round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw"
023377,23377,"Beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted","Beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted"
023385,23385,"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, raw","Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, raw"
023562,23562,"Beef, ground, 90% lean meat / 10% fat, raw","Beef, ground, 90% lean meat / 10% fat, raw"
023572,23572,"Beef, ground, 80% lean meat / 20% fat, raw","Beef, ground, 80% lean meat / 20% fat, raw"
036408,36408,"Restaurant, Latino, pupusas con frijoles (pupusas, bean)","Restaurant, Latino, pupusas con frijoles (pupusas, bean)"
036412,36412,"Restaurant, Latino, tamale, pork","Restaurant, Latino, tamale, pork"
036602,36602,"Restaurant, Chinese, fried rice, without meat","Restaurant, Chinese, fried rice, without meat"
036622,36622,"Restaurant, Chinese, sweet and sour pork","Restaurant, Chinese, sweet and sour pork"
043382,43382,"Cranberry juice, not fortified, from concentrate, shelf stable","Cranberry juice, unsweetened"
